"effective_location.code","instances.title","items.barcode","items.effective_call_number","items.effective_shelving_order","items.item_level_call_number","items.id","items.last_check_in_date_time","items.status_name"
"dmsdv","La Amistad International Peace Park : what part does it play in the peace process? / by Paul Gregory Babladelis.","31293000000000","137 529 THS, 1","137 529 THS VideoDVD 1","137 529 THS","807d218c-4aac-533c-bdee-d6ccd5f79b42","","Available"
"dmsdv","Dislocation generation and motion in B2 NiAl single crystals / by Biman Ghosh.","31293023658804","138 093 THS, 1","138 093 THS VideoDVD 1","138 093 THS","1675adad-fda0-5106-993b-88c02b80b85a","","Available"
"dmdvd","Zhongguo ci dian = China encyclopedia / Zhonghua Renmin Gongheguo guo wu yuan xin wen ban gong shi jian zhi.","31293000000000","AE17 .Z4672 2009 DVD-ROM, 1","AE 217 Z4672 42009 DVD ROM 11","AE17 .Z4672 2009 DVD-ROM","2fce3c11-15a8-55b4-ba41-4175bde4bbb5","44804","Available"
"dmsdv","The revolt of the bees / edited by Aaron Levy and Thaddeus Squire ; essays by Anthony Grafton and Thomas Keenan.","31293000000000","AM7 .R47 2005, 1","AM 17 R47 42005 VIDEODVD 11","AM7 .R47 2005","57ad51f4-4297-5c07-a174-e1f3841d833d","","Available"
"dmsdv","Museum movement techniques : how to craft a moving museum experience / Shelley Kruger Weisberg.","31293000000000","AM7 .W3935 2006, 1","AM 17 W3935 42006 VIDEODVD 11","AM7 .W3935 2006","69563909-4700-58a0-be41-14b303e1faab","","Available"
"dmsdv","Hands off not an option! : the reminiscence museum mirror of a humanistic care philosophy / Hans Marcel Becker ; assisted by Inez van den Dobbelsteen-Becker and Topsy Ros ; [photographs: Paul van Aken and others ; cartoons: Pieter Martijn ; English translation: Francine Graafmans-Immink].","31293000000000","AM57 .B43 2011, 1","AM 257 B43 42011 VIDEODVD 11","AM57 .B43 2011","c70da7ed-9f65-5463-a08f-6d2ff5f75871","","Available"
"dmdvd","Museum masterpieces : the Metropolitan Museum of Art / taught by Richard Brettell.","31293000000000","AM101.N7 M87 2008 VideoDVD, 1","AM 3101 N7 M87 42008 VIDEODVD PT 11 DISC 11 12 11","AM101.N7 M87 2008 VideoDVD","9aa98631-efe8-57b6-a662-d370d014f1a2","","Available"
"dmdvd","Museum masterpieces : the Metropolitan Museum of Art / taught by Richard Brettell.","31293000000000","AM101.N7 M87 2008 VideoDVD, 1","AM 3101 N7 M87 42008 VIDEODVD PT 12 DISC 11 12 11","AM101.N7 M87 2008 VideoDVD","db41485c-2a25-53ec-a987-e69e2e8ff5e1","","Available"
"dmsdv","Revue des deux mondes.","31293000000000","AP20 .R3, 1","AP 220 R3 42010 JUNE VIDEODVD 11","AP20 .R3","977ec123-7281-58f5-92c6-366dde4c2f5a","","Restricted"
"dmdvd","Bryan Magee talks to Martha Nussbaum about Aristotle / BBC Education & Training ; devised and presented by Bryan Magee ; producer, Jill Dawson.","31293000000000","B72.G73 A7 2008 VideoDVD, 1","B 272 G73 A7 42008 VIDEODVD 11","B72.G73 A7 2008 VideoDVD","ca537d10-d066-5757-bc7c-e95c62e7302c","","Available"
"dmdvd","Echter dan echt = Keeping it real  / Viewpoint Productions ; IKON ; regie en scenario, Sunny Bergman ; producent, Valrie Schuit.","31293032118402","B105.A8 E24 2004 VideoDVD, 1","B 3105 A8 E24 42004 VIDEODVD 11","B105.A8 E24 2004 VideoDVD","03c38fc7-e566-522d-bdba-f3e09dc8bfd3","","Available"
"dmdvd","Feminist philosophers : in their own words  / produced by Joan Callahan and Nancy Tuana.","31293030961316","B105.W6 F465 2009 VideoDVD, 1","B 3105 W6 F465 42009 VIDEODVD V 14 11","B105.W6 F465 2009 VideoDVD","10bd6948-9196-5953-b44f-ff1d2e6c640c","","Available"
"dmdvd","Feminist philosophers : in their own words  / produced by Joan Callahan and Nancy Tuana.","31293030977130","B105.W6 F465 2009 VideoDVD, 1","B 3105 W6 F465 42009 VIDEODVD V 16 11","B105.W6 F465 2009 VideoDVD","181b8951-5e26-5393-aec1-ae2662016b61","","Available"
"dmdvd","Feminist philosophers : in their own words  / produced by Joan Callahan and Nancy Tuana.","31293000000000","B105.W6 F465 2009 VideoDVD, 1","B 3105 W6 F465 42009 VIDEODVD V 12 11","B105.W6 F465 2009 VideoDVD","3194e23d-e068-508a-a35c-b98df3c720df","","Available"
"dmdvd","Feminist philosophers : in their own words  / produced by Joan Callahan and Nancy Tuana.","31293000000000","B105.W6 F465 2009 VideoDVD, 1","B 3105 W6 F465 42009 VIDEODVD V 13 11","B105.W6 F465 2009 VideoDVD","491c9edc-641e-5357-b4a5-48e2ea542acf","","Available"
"dmdvd","Feminist philosophers : in their own words  / produced by Joan Callahan and Nancy Tuana.","31293000000000","B105.W6 F465 2009 VideoDVD, 1","B 3105 W6 F465 42009 VIDEODVD V 11 11","B105.W6 F465 2009 VideoDVD","58327b05-e0f0-5322-a957-397ab6530821","","Available"
"dmdvd","Feminist philosophers : in their own words  / produced by Joan Callahan and Nancy Tuana.","31293000000000","B105.W6 F465 2009 VideoDVD, 1","B 3105 W6 F465 42009 VIDEODVD V 15 11","B105.W6 F465 2009 VideoDVD","de157aae-f150-53ff-99dc-3bba4d57840a","","Available"
"dmdvd","An introduction to Greek philosophy / taught by David Roochnik.","31293000000000","B108 .R66 2002 VideoDVD, 1","B 3108 R66 42002 VIDEODVD PT 12 DISC 11 12 BOOKLET 11","B108 .R66 2002 VideoDVD","b0c315ca-2331-584e-a303-d8367cd81b79","","Available"
"dmdvd","An introduction to Greek philosophy / taught by David Roochnik.","31293000000000","B108 .R66 2002 VideoDVD, 1","B 3108 R66 42002 VIDEODVD PT 11 DISC 11 12 BOOKLET 11","B108 .R66 2002 VideoDVD","beeb8810-a78c-55eb-849c-db071e4d6290","","Available"
"dmdvd","Kongzi = Confucius / Da di yu le you xian gong si, Da di shi dai wen hua chuan bo (Beijing) you xian gong si, Zhongguo dian ying ji tuan gong si lian he chu pin ; bian ju, Chen Han [and others] ; zong jian zhi Cui Baozhu ; dao yan Hu Mei.","31293000000000","B128.C8 K66 2010 VideoDVD, 1","B 3128 C8 K66 42010 VIDEODVD 11","B128.C8 K66 2010 VideoDVD","22fa2f5d-c1cf-5b0c-a9ba-a1d13aa99562","","Available"
"dmdvd","Continental philosophy / Films for the Humanities & Sciences and Tranquilo Productions.","31293000000000","B790 .C66 2005 VideoDVD, 1","B 3790 C66 42005 VIDEODVD 11","B790 .C66 2005 VideoDVD","d81ae0ab-0c27-5e88-8b2f-3e31be1a5a5d","","Available"
"dmdvd","Emerson, Thoreau, and the Transcendentalist movement / [taught by] Ashton Nichols.","31293000000000","B905.N53 E36 2006 VideoDVD, 1","B 3905 N53 E36 42006 VIDEODVD PT 11 DISC 11 12 BOOKLET 11","B905.N53 E36 2006 VideoDVD","4b637b88-16b8-521d-ad6c-b7c679b56ebb","45427","Available"
"dmdvd","Emerson, Thoreau, and the Transcendentalist movement / [taught by] Ashton Nichols.","31293000000000","B905.N53 E36 2006 VideoDVD, 1","B 3905 N53 E36 42006 VIDEODVD PT 12 DISC 11 12 BOOKLET 11","B905.N53 E36 2006 VideoDVD","949c99b0-e606-54f1-854a-36f9a6a87c9c","45427","Available"
"dmdvd","Ayn Rand : a sense of life / A G Media Corporation Limited in association with Copasetic, Inc. ; produced, written and directed by Michael Paxton.","31293000000000","B945.R234 A96 1999 VideoDVD, 1","B 3945 R234 A96 41999 VIDEODVD 11","B945.R234 A96 1999 VideoDVD","538eb113-48be-5de1-a3b2-a64ed3a0d0b7","","Available"
"dmdvd","The philosopher kings / Transcendental Media ; directed by Patrick Shen ; written and produced by Patrick Shen, Greg Bennick.","31293000000000","B947.J3 P49 2009 VideoDVD, 1","B 3947 J3 P49 42009 VIDEODVD 11","B947.J3 P49 2009 VideoDVD","e0fc28d8-e25c-5ab6-adac-44926a6021df","","Available"
"dmdvd","Gilles Deleuze from A to Z / with Claire Parnet ; directed by Pierre-AndreÌ Boutang ; translated by J. Stivale.","31293000000000","B2430.D453 G456 2012 VideoDVD, 1","B 42430 D453 G456 42012 VIDEODVD DISCS 11 13 BOOKLET 11","B2430.D453 G456 2012 VideoDVD","597d7888-c0f8-58d2-a7f1-8a7439c07698","45792","Available"
"dmdvd","An encounter with Simone Weil / Line Street Productions ; written, directed and produced by Julia Haslett.","31293000000000","B2430.W474 E58 2010 VideoDVD, 1","B 42430 W474 E58 42010 VIDEODVD 11","B2430.W474 E58 2010 VideoDVD","b324e689-2479-5d1f-a09a-6a85ebfa5552","","Available"
"dmdvd","Logic : the structure of reason / Tranquilo Producciones.","31293000000000","BC15 .L64 2004 VideoDVD, 1","BC 215 L64 42004 VIDEODVD 11","BC15 .L64 2004 VideoDVD","d215c0a2-90d5-51a5-b5c7-b1df3fcf62cf","","Available"
"dmdvd","Philosophy of mind : brains, consciousness, and thinking machines / taught by Patrick Grim.","31293000000000","BD418.3 .G752 2008 VideoDVD, 1","BD 3418.3 G752 42008 VIDEODVD PT 11 DISC 11 12 11","BD418.3 .G752 2008 VideoDVD","5bd879c0-4138-5252-a67e-19430383110d","","Available"
"dmdvd","Philosophy of mind : brains, consciousness, and thinking machines / taught by Patrick Grim.","31293000000000","BD418.3 .G752 2008 VideoDVD, 1","BD 3418.3 G752 42008 VIDEODVD PT 12 DISC 11 12 11","BD418.3 .G752 2008 VideoDVD","6e303f2b-63d2-544b-99b4-bb266894e1d8","","Available"
"dmdvd","The history of psychology / Promedion Productions ; writers, Dax Xenos, Anna Carlton ; producer/director, Banning K. Lary.","31293000000000","BF95 .H57 2007 VideoDVD, 1","BF 295 H57 42007 VIDEODVD V 13 11","BF95 .H57 2007 VideoDVD","894ae43c-39f2-54e8-b556-c18835607710","","Available"
"dmdvd","The history of psychology / Promedion Productions ; writers, Dax Xenos, Anna Carlton ; producer/director, Banning K. Lary.","31293000000000","BF95 .H57 2007 VideoDVD, 1","BF 295 H57 42007 VIDEODVD V 12 11","BF95 .H57 2007 VideoDVD","9b96b7e1-d3eb-5e2f-8e94-d431009ad901","","Available"
"dmdvd","The history of psychology / Promedion Productions ; writers, Dax Xenos, Anna Carlton ; producer/director, Banning K. Lary.","31293000000000","BF95 .H57 2007 VideoDVD, 1","BF 295 H57 42007 VIDEODVD V 11 11","BF95 .H57 2007 VideoDVD","d239df02-a2ad-5256-8166-716005c87c2b","","Available"
"dmdvd","Human, all too human / BBC Productions for The Open University ; produced and directed by Jacqui Farnham.","31293000000000","BF105 .H86 2011 VideoDVD, 1","BF 3105 H86 42011 VIDEODVD 11","BF105 .H86 2011 VideoDVD","e0f0c1f1-c179-546b-a4ff-242afaf62e8a","","Available"
"dmdvd","Freud : [a portrayal of the great pschoanalyst] / BBC ; 2 Entertain ; producer, John Purdie ; writer, Carey Harrison ; director, Moira Armstrong.","31293000000000","BF109.F74 F74 2010, 1","BF 3109 F74 F74 42010 DISC 11 12 11","BF109.F74 F74 2010","c8e8fdf5-8b77-50ab-92ef-046f71e32cae","","Available"
"dmdvd","Sigmund Freud : analysis of a mind / produced by Greystone Communications, Inc. for A & E Network ; produced by Henry Schipper ; series producer, Melanie Blythe.","31293000000000","BF109.F74 S536 2008 VideoDVD, 1","BF 3109 F74 S536 42008 VIDEODVD 11","BF109.F74 S536 2008 VideoDVD","921d6118-8397-5923-89c7-093857dbf63b","","Available"
"dmdvd","Matter of heart : the extraordinary journey of C.G. Jung into the soul of man.","31293000000000","BF109.J8 M38 2004 VideoDVD, 1","BF 3109 J8 M38 42004 VIDEODVD 11","BF109.J8 M38 2004 VideoDVD","9746623f-7104-5a31-8f3c-bdffcaeefbe7","","Available"
"dmdvd","Sigmund Freud : his offices and home, Vienna,1938 / Filmakers Library ; produced by Gene Friedman.","31293000000000","BF173.F85 S53 2000z VideoDVD, 1","BF 3173 F85 S53 42000Z VIDEODVD 11","BF173.F85 S53 2000z VideoDVD","f7321172-7b23-5afb-9612-cff21b9bd7f0","","Available"
"dmdvd","What are dreams? / PBS ; BBC ; WGBH Educational Foundation ; produced and directed by Charles Coville ; produced and directed for Nova by Sarah Holt.","31293000000000","BF175.5.D74 W43 2010 VideoDVD, 1","BF 3175.5 D74 W43 42010 VIDEODVD 11","BF175.5.D74 W43 2010 VideoDVD","77978a1e-46f9-5123-b797-31907a328c5a","","Available"
"dmdvd","Interpretations : perception / written and produced by Sally Beaty.","31293029349713","BF176 .I584 2006 VideoDVD, 1","BF 3176 I584 42006 VIDEODVD 11","BF176 .I584 2006 VideoDVD","0fa9c71a-c9af-57e9-9618-4146c2e647c9","","Available"
"dmdvd","Into the mind. Emotions / BBC.","31293000000000","BF198.7 .I553 2010 VideoDVD, 1","BF 3198.7 I553 42010 VIDEODVD 11","BF198.7 .I553 2010 VideoDVD","ac9f8d56-25bf-5bc3-b81a-483bdfb2eb27","","Available"
"dmdvd","Into the mind. Mind control / BBC.","31293000000000","BF198.7 .I554 2010 VideoDVD, 1","BF 3198.7 I554 42010 VIDEODVD 11","BF198.7 .I554 2010 VideoDVD","f9200471-fbe0-5def-8ca9-b5bace3d074b","","Available"
"dmdvd","Into the mind. Broken brains / BBC.","31293000000000","BF198.7 .I555 2010 VideoDVD, 1","BF 3198.7 I555 42010 VIDEODVD 11","BF198.7 .I555 2010 VideoDVD","7b6a49e7-3686-5ba3-8c7f-279fdd8ceec6","","Available"
"dmdvd","Accentuate the positive : using positive psychology in the classroom / Documentary Australian Foundation ; a Screen Australia Production in association with Iris Pictures ; produced with assistance of Screen NSW ; producer, Jessica Douglas-Henry ; co-producer, Nicola Ruscoe ; director, John Janson-Moore.","31293031512845","BF204.6 .A335 2011 VideoDVD, 1","BF 3204.6 A335 42011 VIDEODVD 11","BF204.6 .A335 2011 VideoDVD","16ac58ca-fa02-5025-b838-1c7feb538f3c","","Available"
"dmdvd","The substance : Albert Hofmann's LSD / Ventura Film ; produced by Andres Pfaeffli ; a film by Martin Witz.","31293032600391","BF209.L9 S83 2011 VideoDVD, 1","BF 3209 L9 S83 42011 VIDEODVD 11","BF209.L9 S83 2011 VideoDVD","0e02811c-5481-5c7a-a39c-93b9ca6cdf19","","Available"
"dmdvd","InnSÃ¦i : the power of intuition / Klikk Productions presents in co-production with Met Film a film by KristiÌn OÌlafsdoÌttir and Hrund Gunnsteinsdottir ; directors, KristiÌn OÌlafsdoÌttir, Hrund Gunnsteinsdottir ; producer, KristiÌn OÌlafsdoÌttir ; script, Hrund Gunnsteinsdottir.","31293000000000","BF315.5 .I45 2017 VideoDVD, 1","BF 3315.5 I45 42017 VIDEODVD 11","BF315.5 .I45 2017 VideoDVD","d036af9d-5f2c-5458-b133-0e8574bb9e81","","Available"
"dmdvd","Why man creates / conceived and written by Saul Bass and Mayo Simon.","31293029386632","BF408 .W59 2003 VideoDVD, 1","BF 3408 W59 42003 VIDEODVD 11","BF408 .W59 2003 VideoDVD","0ca53905-40ff-5fb8-8032-3c5ff143dccc","","Available"
"dmdvd","Why man creates / conceived and written by Saul Bass and Mayo Simon.","31293000000000","BF408 .W59 2003 VideoDVD, 2","BF 3408 W59 42003 VIDEODVD 12","BF408 .W59 2003 VideoDVD","36515717-ce6e-5546-a40c-1849c54b0e1c","","Available"
"dmdvd","Optimizing intelligences : thinking, emotion & creativity.","31293000000000","BF431 .O685 1998 VideoDVD, 1","BF 3431 O685 41998 VIDEODVD 11","BF431 .O685 1998 VideoDVD","68c8b5a9-26e9-51c4-957a-fa29a28463ea","","Available"
"dmdvd","Introduction to critical thinking / Insight Media.","31293000000000","BF441 .I583 2008 VideoDVD, 1","BF 3441 I583 42008 VIDEODVD 11","BF441 .I583 2008 VideoDVD","e9a996fc-c5df-501b-a4d4-a8c87b997c1e","","Available"
"dmdvd","Critical thinking : analyzing problems and decisions / Insight Media.","31293000000000","BF441 .I584 2008 VideoDVD, 1","BF 3441 I584 42008 VIDEODVD 11","BF441 .I584 2008 VideoDVD","581f70e0-8a68-5796-8a26-822cba5072cd","","Available"
"dmdvd","Pleasure and pain / BBC.","31293031513694","BF515 .P44 2011 VideoDVD, 1","BF 3515 P44 42011 VIDEODVD 11","BF515 .P44 2011 VideoDVD","0d7b7901-9aae-53ca-83b3-2f1fed1fd7be","","Available"
"dmdvd","This emotional life : in search of ourselves-- and happiness / a co-production of the NOVA/WGBH Science Unit and Vulcan Productions, Inc. ; a film by Kunhardt McGee Productions.","31293000000000","BF531 .T45 2010 VideoDVD, 1","BF 3531 T45 42010 VIDEODVD DISCS 11 13 11","BF531 .T45 2010 VideoDVD","f8555e78-a08e-5125-89a4-40fcba4c1b64","","Available"
"dmdvd","The empathy gap : masculinity and the courage to change / vox populi productions presents ; a film by Thomas Keith ; written and produced by Thomas Keith.","31293000000000","BF575.E55 E464 2015 VideoDVD, 1","BF 3575 E55 E464 42015 VIDEODVD 11","BF575.E55 E464 2015 VideoDVD","b1328354-621a-5575-b8b7-fda861dc2dff","","Available"
"dmdvd","All water has a perfect memory / a film by Natalia Almada.","31293000000000","BF575.G7 A44 2001 VideoDVD, 1","BF 3575 G7 A44 42001 VIDEODVD 11","BF575.G7 A44 2001 VideoDVD","d66baa1c-4cd1-50c7-af06-84dfb8eb5fa9","","Available"
"dmdvd","Shaping the South : where did all the hate come from? / C-SPAN.","31293000000000","BF575.H3 S53 2009 VideoDVD, 1","BF 3575 H3 S53 42009 VIDEODVD 11","BF575.H3 S53 2009 VideoDVD","c5a0e0a7-afbd-5a15-a930-91878c59b1e3","","Available"
"dmdvd","How to be happy! : positive psychology in action / Films for the Humanities & Sciences ; directed, written and produced by Alan Mendelsohn ; producer, Eleisha McNeill.","31293000000000","BF575.H27 H68 2008 VideoDVD, 1","BF 3575 H27 H68 42008 VIDEODVD 11","BF575.H27 H68 2008 VideoDVD","88bc7865-540d-5958-a032-53688a739141","","Available"
